index	Column 1	recipient	sender	tosplit 2 2 1	toWD	tosplit 2 2 2
4036	Löwy, Sandor an Kuratorium der Zunz-Stiftung: Fürth, 27.02.1910	Kuratorium der Zunz-Stiftung	Löwy, Sandor	Fürth	Fürth	 27.02.1910
4057	Mandl, Simon an Kuratorium der Zunz-Stiftung: Kostel, 05.07.1898	Kuratorium der Zunz-Stiftung	Mandl, Simon	Kostel	Kostel	 05.07.1898
4059	Mannheimer, Moses an Kuratorium der Zunz-Stiftung: Darmtadt, 18.07.1887	Kuratorium der Zunz-Stiftung	Mannheimer, Moses	Darmtadt	Darmtadt	 18.07.1887
4062	"Mannheimer, Moses / Mannheimer, Moses. Einladung zur Subskription für ""Die Judenverfolgungen in Speyer, Worms und Mainz in Jahre 1096 während des ersten Kreuzzuges"": o.O., o.D."			o.O.	o.O.	 o.D.
4063	Marcous, Abraham an Liebermann, Felix: Cairo, 23.02.1908	Liebermann, Felix	Marcous, Abraham	Cairo	Cairo	 23.02.1908
4120	Meier an Unbekannt: / Adr. Werther Freund und College: Berlin, 23.06.1864	Unbekannt	Meier	/ Adr. Werther Freund und College: Berlin	/ Adr. Werther Freund und College: Berlin	 23.06.1864
4121	Meier an Unbekannt: / Adr. Werther Freund und College: Berlin, 21.06.1864	Unbekannt	Meier	/ Adr. Werther Freund und College: Berlin	/ Adr. Werther Freund und College: Berlin	 21.06.1864
4133	Meyer, Elsbeth an Liebermann, Felix: o.O., 11.03.1905	Liebermann, Felix	Meyer, Elsbeth	o.O.	o.O.	 11.03.1905
4136	Meyer, Samuel / Zunz-Stiftung <Berlin>. Abschnitt mit Text von Samuel Meyer: Hannover, 21.01.1877			 H	 H	
4171	Müller, Gabriel an Neumann, Salomon: Mallersdorf, 25.02.1887	Neumann, Salomon	Müller, Gabriel	Mallersdorf	Mallersdorf	 25.02.1887
4172	Müller, Gabriel an Kuratorium der Zunz-Stiftung: Mallersdorf, 05.08.1887	Kuratorium der Zunz-Stiftung	Müller, Gabriel	Mallersdorf	Mallersdorf	 05.08.1887
4173	Müller, Gabriel an Neumann, Salomon: o.O., 16.10.1887	Neumann, Salomon	Müller, Gabriel	o.O.	o.O.	 16.10.1887
4185	Neufeld, Siegbert an Kuratorium der Zunz-Stiftung: Breisen, 06.02.1918	Kuratorium der Zunz-Stiftung	Neufeld, Siegbert	Breisen	Breisen	 06.02.1918
4265	Neumann, Salomon an Preußen / Polizeipräsidium <Berlin>: / Königliches Polizei-Präsidium: Berlin, 1887	Preußen / Polizeipräsidium <Berlin>	Neumann, Salomon	/ Königliches Polizei-Präsidium: Berlin	/ Königliches Polizei-Präsidium: Berlin	1887
4376	Neumann, Salomon an Steinschneider, Moritz: Gurnigel bei Bern, 30.08.1886	Steinschneider, Moritz	Neumann, Salomon	Gurnigel bei Bern	Gurnigel bei Bern	 30.08.1886
4396	Neumann, Salomon an Steinschneider, Moritz: Murnau, 02.09.1888	Steinschneider, Moritz	Neumann, Salomon	Murnau	Murnau	 02.09.1888
4416	Neumann, Salomon an Steinschneider, Moritz: o.O., 14.08.1888	Steinschneider, Moritz	Neumann, Salomon	o.O.	o.O.	 14.08.1888
