title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Dr.;Andreas;Meyer;-;-;"75;6.9-63(Gerling)";-;-
Dr.;Seew;Meyer;-;-;H.6o:23.8.63(Gumpertz);-;-
-;G.;Meyerbeer;-;6.5.49;"s.""Vergötterte  jüd.Musiker""";-;-
-;Edwin;Meyersohn;-;-;7o:1.11.63;-;-
-;Chaim;Michels;-;-;Nachr.l7.4.64(BC);-;-
Dr.;Fritz;Millner;-;-;Nachr.29.3.63(ESimon(s.a.Erlittene  Dichtg  2o.3.59);-;-
-;Rafael;Mohar;-;1.3.63;Gedenkausstellg;-;-
-;Hans;Moller;-;-;Hachr.17.lo.62(Ollendorff);-;-
-;Alfred(;Mombert;-;9.2.62;18'72-1942)Mystifikation  ht);-;-
-;62(Times;21.12;-;-;Lit);-;-
-;Lady;Montagu;-;-;Lily  Nachr.15.2.63;-;-
-;Leonard;Monteflore;-;-;G.  Nachr.12.1.62/26.1.62;-;-
-;Moses;Montefiore;-;-;loo.Todestg  seiner  Frau  Judith  lo.8.62;-;-
Dr.;Kurt;Mossberg;-;25.6.65;A.Museum  Haaretz;-;-
-;Christian;Morgenstern;-;-;Rez.Briefe  5.lo.62(HBergman);-;-
Dr.;Siegfried;Moses;-;-;DavidRosiliopreis  3o.3.62;-;-
-;Margarete;Moses;75;15.10.65;;-;-
Dr.;Herman;Muller;-;-;7o:18.lo.63(HT);-;-
-;Anita;Hiiller-Cohen;-;-;Nachr.6.7.62;-;-
Dr.;Leo;Münz;-;-;Hachr.14.5.65(HT);-;-
-;Fritz;Naphtali;-;25.5.62;Perez  l.Todestg  Lotan);-;-
-;Thea;I^than;-;5.11.65;Jerusalempreis;-;-
Dr.;Bruno;Nathan;-;-;Vo:15.6.62;-;-
-;Wolfgang;Nehab;-;-;Naehr.Zo.il.62;-;-
-;Hertha;Neufeld;-;-;8o:24.12.65;-;-
-;Robert;Neumann;65;25.5.62;;-;Schriftat
Dr.;Fritz;Neumann;-;-;Simon  Nachr.16.4.65/  Zo.4.65;-;-
Dr.;Max;Nordau;-;14.6.63;4o.Todestg    geb.  1849)■;-;-
Dr.;Hugo;Nothmann;-;-;Zwi  Nachr.lo.9.65(AStern);-;-
-;Samuel;Nothmann;-;-;Naohr.9.Z.62(0Weissmann);-;-
Dr.;Meinhold;Nussbaum;-;18.9.6j;lo.Todestg  ffr,Lion);-;-
Dr.;Robert;Nussbaum;-;-;Naohr.9.11.62JLev^)  /21.12.62(Blumenfeld);-;-
-;Kae;01ivenbaum;-;-;te  Tode  ganz.25.1.63;-;-
Prof.;Eranz;Oppenheiner;-;-;2o.3.64;-;1864-1943
-;Sascha;Parnes;-;-;Nachr.l7.1.64(WSchocken);-;-
-;Bertha;PappenheIm;-;-;Biogr.27.3.64;-;-
Dr.;Alfred;Perlmutter;-;-;5.Todestg  3o.3.62;-;-
-;Leo;Perutz;-;21.9.62;posthume  Ehrung;-;-
Rabb.;A.;Philipp;60;6.3.64;;-;-
-;Luise;Philipp;-;-;A.Nachr.7.8.64;-;-
Dr.;Fritz;Pick;75;25.5.62;;-;-
-;Ludwig;Pineoffs;-;-;Nachr.lo.1,64(HT);-;-
Dr.;Ludwig;Pinner;-;29.1.65;75:  3«  HT  GLu);-;-
-;Siegfried;Pirker;-;-;Nachr.7.12.62;-;-
Dr.;S.J.Nachr.21.8.64;Plaschkes;-;-;;-;ZKr
Prof.;Menko;Plaut;-;-;Nachr.14.2.64;-;-
Dr.;R.;Pokorny;-;-;7o:lo.7.64;-;-
-;Max;Pottlitzer;-;-;M.  Nachr.2,11.62;-;-
Dr.;Bruno;Powitzer;-;-;Nachr.21.5.65;-;-
Dr.;Jpseph;Prager;-;25.6.65;80:  MJacobsohn);-;-
-;Willy;Preise;-;-;Nachr,24.8.62;-;-
Dr.;Max;Preuss;-;-;7o:8.11.63;-;-
Dr.;Walter;Preuss;-;-;7o:22.1.65(HT);-;-
