title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
-;Jizchak;Kaznelson;-;05.07.1964;2o.Todestg;-;-
Dr.;Victor;Kellner;75;25.11.1962;(HBergman);-;-
-;Shoshana;Kellner-Gilad;-;-;"Nachr.5.5.65  """;-;-
-;Moshe;Keren;-;-;Erich  Nachr.2o.8.65(RW);-;-
;Moshe;Krämer;;;;;
Dr.;Siegfried;Kessler;-;09.08.1965;GedÃ¤chthisfonds;-;-
Prof.;Leo;Kestenberg;-;26.01.1962;Nachrufe  aJ-L.  .);-;-
Dr.;Bruno;Kirschner;-;-;Nachr.24.4.64(Herlitz);-;-
-;Martin;Kirschstein;-;-;Nachr.26.7.65(BC);-;-
-;Edith;Klee;-;-;Nachr.18112.64;-;-
Dr.;Rudolf;Kiwi;-;17.09.1965;Nachr.;-;-
-;David;Klinghoffer;-;07.02.1964;David  Nachr.  (ZKr)KMpfxkrxKKrrjrx?5xi2xixÂ£2;-;-
Dr.;Harry;Knopf;-;12.01.1962;75:  (OH);-;-
-;Else;Kober;-;-;Nachr.8.5.64;-;-
Dr.;Franz;Kobler;-;-;Nachr.4.6.65  u.25.6.65;-;-
-;Charlotte;Köbner;-;-;"""achr.6.8.65";-;-
Prof.;Hans;Kohn;-;-;Rez.25.5.62(Gottgetreu);-;-
-;Arthur;Kohn;-;-;8o:5o.lo.64;-;-
-;Meir;Königshöfer;-;-;9o:9-5.62;-;-
-;Fritz;Kortner;-;-;7o:25.5.62;-;-
Dr.;Siegfried;Kracauer;-;-;23380,16042;-;-
Dr.;Markus;Kraemer;-;-;Nachr.12.6.64;-;-
-;Karl;Kraus;-;-;K.K.29.5.55(M.Teich);-;1874-1956
-;Elijahu;Krause;-;-;Nachr.1.6.62;-;-
-;Wilhelm;Krell;-;-;6o:24.8.62(HT);-;-
Dr.;Gustav;Krojanker;-;16.07.1965;2o.Todestg  HT);-;-
Dr.;Chaim H.;Kuhn;;;;;
Prof.;Baruch;Kurzweil;-;24.01.1964;Bialikpreis;-;-
Dr.;Rudolf;Küstermeier;-;-;6o:22.2.65;-;-
-;Hedwig;Lachmann;-;10.09.1965;loo.Geburtstg;-;-
Dr.;Siegfried;Landau;-;-;Todanz.1.6.62;-;-
Dr.;Georg;Landauer;-;02.02.1962;8.Todestg  HT);-;-
