first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Rolf;Hochhuth;9.1.70;Prozess  Ionescu;-;-;-;-;MBNR.6.PER.183
Herta;loffmann;0.6.72;&o;-;-;-;-;MBNR.6.PER.184
Jascha;Iorenstein;27.14.75;lachruf;-;-;-;-;MBNR.6.PER.185
tax;Horkheimer;27.7.73;Nachmif  IT;-;-;-;-;MBNR.6.PER.186
Tarıl;Hom;-;(sest.?1.°.  °.#.70;-;Nachruf;-;-;MBNR.6.PER.187
Abraham;Horodisch;16.2.73;75;-;-;-;-;MBNR.6.PER.188
David;Hororitz;-;Autobiogr.  11.%.70;-;-;-;-;MBNR.6.PER.189
Hans;ihırtie;-;70  ?,!,71;-;-;-;-;MBNR.6.PER.190
;Huarritz;-;rich  lo.lodestar  9.'.71;-;-;-;-;MBNR.6.PER.191
;Tbbelien;-;Ida  Hachmruf  25.*.75;-;-;-;-;MBNR.6.PER.192
K'the;Jacob;15.6.73;75;-;-;-;-;MBNR.6.PER.193
Grete;Jacobi;11.5.73;;-;Nachruf;-;-;MBNR.6.PER.194
Gerhari;Jacobsohn;3.7.70;70;-;-;-;-;MBNR.6.PER.195
iax;Jacobsohn;-;85  HT  2%,.6.72;-;-;-;-;MBNR.6.PER.196
;Jacobson;-;Bemnharil  70  2%.10.70;-;-;-;-;MBNR.6.PER.197
;Jacobson;16.2.7*;Rabh,Iss.B.S.;-;Nachruf;-;-;MBNR.6.PER.198
Farl;Jasners;-;Diskussionsband  22,.5.7%;-;-;-;-;MBNR.6.PER.199
Alois;Jeitteles;77.10.70;(Freund  Beethovens);-;-;-;-;MBNR.6.PER.200
Richard;Jelinek;-;2.%.73;-;Todesanzeige;-;-;MBNR.6.PER.201
’rof.Hans;Jonas;-;Rez.ll.Berman  °2.1.71;-;-;-;-;MBNR.6.PER.202
Georg;Joel;1.5.73;;-;Nachruf;-;-;MBNR.6.PER.203
Giora;Josenhtal;-;lo.Todestag  1:..2.7?;-;-;-;-;MBNR.6.PER.204
lHax;Jungmann;1.12.70;schloschim;-;-;-;-;MBNR.6.PER.205
;Kafla;-;"Franz  Briefe  an  F.Teltsch  ""1.17.70";-;-;-;-;MBNR.6.PER.206
Frag;k.u;27.4.7?;;-;-;-;-;MBNR.6.PER.207
;Kahler;-;rich  v.  HT  24,7.70;-;Nachruf;-;-;MBNR.6.PER.208
ächa;Faleko;7.1.72;Gedichte;-;-;-;-;MBNR.6.PER.209
Josef;Kaminski;27.10.72;lachruf;-;-;-;-;MBNR.6.PER.210
Wanda;Eampmann;9.7.7;"Israel  u.jd.selbstverst""ndnis";-;-;-;-;MBNR.6.PER.211
Eordecha‘;Kanrat;5.6.70;Nachmıf;-;-;-;-;MBNR.6.PER.212
Siegfried;Kanoritz;6.7.71;lo.Todestag  NIT;-;-;-;-;MBNR.6.PER.213
;Kanhan;7.1.70;Johanna  (gest.!:.12.69)llachruf;-;-;-;-;MBNR.6.PER.214
Charles;Kapralik;19.14.70;75  2K;-;-;-;-;MBNR.6.PER.215
Baruch;Karu(lrupnik);-;22.4,72;-;Nachruf;-;-;MBNR.6.PER.216
;Katschke;14.4.72;alter  lachruf;-;-;-;-;MBNR.6.PER.217
örnst;Katzenstein;2.2.73;75  IT;-;-;-;-;MBNR.6.PER.218
;Kauffmann;-;?ichard  1°.Todestag  9.%,7%;-;-;-;-;MBNR.6.PER.219
