first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
karl;Narx;17.1.69;-itezens.Biorr.Feuer;-;-;-;-;MBNR.5.PER.151
rranz;jasereel;15.8.69;80;-;-;-;-;MBNR.5.PER.152
Fritzi;Hassary‚;-;Todesnachricht  21269;-;-;-;-;MBNR.5.PER.153
Eugen;Mayer;27.12.68;Nachruf(#?);-;-;-;-;MBNR.5.PER.154
Jacob;Mayer;16.8.68;Abraham(Aachener  Verleger)  (SBraun);-;-;-;-;MBNR.5.PER.155
Ludwig;Mayer;26.7.68;Erinnerungen  aus  Jerusalen:;-;-;-;-;MBNR.5.PER.156
Ludwig;Meldner;7.3.69;Autobiogr.;-;-;-;-;MBNR.5.PER.157
tolda;Keir;14.3.69;-Kabinett(GL);-;-;-;-;MBNR.5.PER.158
Eric;Mendelsohn;17.10.69;Briefe(Posener);-;-;-;-;MBNR.5.PER.159
loses;iendelssohn;12.12.69;Archiv  Berlin;-;-;-;-;MBNR.5.PER.160
Andre;Neyer;6.9.68;80(Anzeige);-;-;-;-;MBNR.5.PER.161
Hans;Neyerowity;13.6.69;Todesanze  ige;-;-;-;-;MBNR.5.PER.162
kdwin;Heyersohn;1.11.68;-75(FW);-;-;-;-;MBNR.5.PER.163
Arthur;Morse;-;D.  Hezens.While  6  millions  died  14.%.69;-;-;-;-;MBNR.5.PER.164
Herman;Muller;13.12.68;Nachruf(HT);-;-;-;-;MBNR.5.PER.165
Fritz;Naphtali;21.3.69;Perez  -Bibliothek  Bonn;-;-;-;-;MBNR.5.PER.166
Bruno;Nathan;29.8.69;5.lodestag;-;-;-;-;MBNR.5.PER.167
ax;Nathan;11.7.69;Nachruf(Lotan);-;-;-;-;MBNR.5.PER.168
Oskar;Neumann;3.10.69;75  (Hl);-;-;-;-;MBNR.5.PER.169
Erich;Ney;2.5.69;;-;Nachruf;-;-;MBNR.5.PER.170
Fritz;Noack;12.7.68;Wachruf(Leshem);-;-;-;-;MBNR.5.PER.171
;Offenbach;13.6.69;Jcques  -:  Kölner  Stiftungspreis;-;-;-;-;MBNR.5.PER.172
iiosche;Okin;6.6.69;0desanzeige;-;-;-;-;MBNR.5.PER.173
Fanny;Olldndorf;13.9.68;75(CH);-;-;-;-;MBNR.5.PER.174
Jules;Pascin;1.8.69;Ausstellg  München(HT);-;-;-;-;MBNR.5.PER.175
Rolf;pauls;19.7.68;Friedemann  Abschied(SMoses);-;-;-;-;MBNR.5.PER.176
Frank;Pelleg;27.12.68;Wachruf(H5);-;-;-;-;MBNR.5.PER.177
Dominique;Pire;21.2.69;;-;Nachruf;-;-;MBNR.5.PER.178
Gerhart;Pohl;8.11.68;Notiz;-;-;-;-;MBNR.5.PER.179
Wilma;Prager;10.1.69;;-;Todesanzeige;-;-;MBNR.5.PER.180
Siegbert;Prawer;21.53.69;5.  Professor  üxford;-;-;-;-;MBNR.5.PER.181
Leo;Prijs;10.1.69;Professur  München;-;-;-;-;MBNR.5.PER.182
Leonhard;Ragaz;26.7.68;Gedenkfeier  Zürich;-;-;-;-;MBNR.5.PER.183
David;Keifen;26.12.69;Rubin-Preis;-;-;-;-;MBNR.5.PER.184
W.J.;Keifenberg;27.12.68;(Architekt)  Nachrufnotiz;-;-;-;-;MBNR.5.PER.185
lans;Reimann;-;29,8,69;-;Nachruf;-;-;MBNR.5.PER.186
hNax;keinhardt;4.10.68;-Berliner  Ausstelg.;-;-;-;-;MBNR.5.PER.187
Erich;Reiss;21.11.69;Ausstellg.Uffenbach(HT);-;-;-;-;MBNR.5.PER.188
iians;Reissner;27.6.69;G.  Professur;-;-;-;-;MBNR.5.PER.189
Franz;Reizenstein;25.10.68;Nachrufnotiz;-;-;-;-;MBNR.5.PER.190
Pinchas;Kosen;27.12.68;verlässt  Knesseth;-;-;-;-;MBNR.5.PER.191
Samuel;Kosenbaum;11.10.68;R.(Philadelphia)  80;-;-;-;-;MBNR.5.PER.192
Franz;Kosenzweig;26.12.69;40.lodestag(HI,Freund);-;-;-;-;MBNR.5.PER.193
lile;Kössler;25.4.69;lo.Todestag;-;-;-;-;MBNR.5.PER.194
Cuy;Rothschild;-;de  (üb.»ariser  ankchaus  165.69;-;-;-;-;MBNR.5.PER.195
Arthur;Ruppin;25.4.69;üb.Juden  u.Araber;-;-;-;-;MBNR.5.PER.196
Kurt;Ruppin;21.3.69;75(leanne);-;-;-;-;MBNR.5.PER.197
;Kussel;15.11.68;Bertrand  -Autobiogr,;-;-;-;-;MBNR.5.PER.198
Robert;Saitschik;13.9.68;in:Meine  Philos.-Professoren(SBraun);-;-;-;-;MBNR.5.PER.199
Ulrich;Salingre;21.3.69;"v.""Heatid""(Cottgetreu)";-;-;-;-;MBNR.5.PER.200
Max;Scheler;13.9.68;in:Meine  Philos.-Professoren(SBraun);-;-;-;-;MBNR.5.PER.201
Mosche;Schlanger(b.Menachem);20.12.68;Nachruf(Hebel);-;-;-;-;MBNR.5.PER.202
Falk;Schlesinger;4.10.68;lNachruf(Leurer);-;-;-;-;MBNR.5.PER.203
Jean;Schlumberger;-;Nachrufnotiz  8.11,68;-;-;-;-;MBNR.5.PER.204
Arthur;Schnitzler;29.11.68;-Autobiogr.(HT);-;-;-;-;MBNR.5.PER.205
Gershom;Scholen;27.12.68;-KRezens.Festschrift(kosenblüth);-;-;-;-;MBNR.5.PER.206
Nerner;Senator;22.11.68;15.Todestag(HT);-;-;-;-;MBNR.5.PER.207
Amos;Shalit;12.9.69;de;-;Nachruf;-;-;MBNR.5.PER.208
Salman;Shazar;28.9.69;80  (HT,Blumenfeld);-;-;-;-;MBNR.5.PER.209
bavid;Shealtiefl;2.4.69;Wachruf(Leshem);-;-;-;-;MBNR.5.PER.210
krnst;Simon;28.2.69;A.  -Buber-Rosenzweig-liedaille;-;-;-;-;MBNR.5.PER.211
Julius;Simon;18.4.69;Todesnachricht;-;-;-;-;MBNR.5.PER.212
Upton;Sinelair;6.12.68;;-;Nachruf;-;-;MBNR.5.PER.213
Eugene;Spiro;16.5.69;-95;-;-;-;-;MBNR.5.PER.214
kudolph;Stahl;9.5.69;70(Simon);-;-;-;-;MBNR.5.PER.215
John;Steinbeck;3.1.69;Kachruf;-;-;-;-;MBNR.5.PER.216
Jakob;Steinhardt;7.2.69;1.lodestag;-;-;-;-;MBNR.5.PER.217
KEleonore;Sterling;24.1.69;Nachrufnotiz;-;-;-;-;MBNR.5.PER.218
Arthur;Stern;13.6.69;90(Gottgetreu);-;-;-;-;MBNR.5.PER.219
Carl;Sternheim;28.2.69;"""Nebbich""Auffg.Düsseldorf";-;-;-;-;MBNR.5.PER.220
Fritz;Stiedry;13.9.68;;-;Nachruf;-;-;MBNR.5.PER.221
Bruno;Strauss;21.2.69;-80;-;-;-;-;MBNR.5.PER.222
Georg;Strauss;3.1.69;Kezens.Vita  nuova(Kellner);-;-;-;-;MBNR.5.PER.223
lHeinrich;Strauss;12.9.69;70;-;-;-;-;MBNR.5.PER.224
Richard;Strauss;24.10.69;Israelstreit  um  S.(Daus);-;-;-;-;MBNR.5.PER.225
Hermann;Struck;10.1.69;25.lodestag(Schragenheim);-;-;-;-;MBNR.5.PER.226
Hardi;Swarsensky;20.12.68//3.1.69;Wachruf(Wilk);-;-;-;-;MBNR.5.PER.227
Gerschon;Swet;2.8.68;;-;Nachruf;-;-;MBNR.5.PER.228
Max;Yau;6.9.68;-Autobiogr.(HT);-;-;-;-;MBNR.5.PER.229
iloshe;Tavor;7.11.69;-Rezens.Jerusalembuch(ER);-;-;-;-;MBNR.5.PER.230
Schabbtai;Yewet;3.10.69;Rezens.Fluch  d.Segens(GL);-;-;-;-;MBNR.5.PER.231
!'riedrich;Thieberger;12.7.68;Rezens.Jüd.Fest/  jid.Brauch(Bergman);-;-;-;-;MBNR.5.PER.232
krnst;Toller;-;Drama  v.Drost  21.2,.69;-;-;-;-;MBNR.5.PER.233
Arnold;Toynbee;11.7.69;-Hemoiren(KL);-;-;-;-;MBNR.5.PER.234
Samuel;Trone;26.12.69;;-;Nachruf;-;-;MBNR.5.PER.235
Kurt;Yuchler;12.12.69;75  (HT);-;-;-;-;MBNR.5.PER.236
kurt;ucholsky;16.5.69;Stiftung  Hamburg;-;-;-;-;MBNR.5.PER.237
Margarete;Turnowsky-Pinner;28.2.69;75  (kW);-;-;-;-;MBNR.5.PER.238
Camilla;Voigt;22.8.69;80;-;-;-;-;MBNR.5.PER.239
Dov;Wagenstein;30.5.69;Yodesanzeige;-;-;-;-;MBNR.5.PER.240
Raoul;Wallenberg;11.4.69;Notiz  'ib.Biogr.;-;-;-;-;MBNR.5.PER.241
Bruno;Walter;7.11.69;Briefe(HT);-;-;-;-;MBNR.5.PER.242
Armin;wegner;30.5.69;T.  in  Armenien;-;-;-;-;MBNR.5.PER.243
liax;Weinreich;21.35.69;Todesnachricht;-;-;-;-;MBNR.5.PER.244
Chhim;weizmann;14.2.69;Rezens.Briefe(RW);-;-;-;-;MBNR.5.PER.245
Carl;Weizsäcker;11.7.69;v.  Erasmuspreis;-;-;-;-;MBNR.5.PER.246
lelix;Weltsch;30.5.69;B.  hebrä.Gnade  u.Freiheit(Kellner);-;-;-;-;MBNR.5.PER.247
kobert;weltsch;30.5.69;Ehrendoktor  Newiork;-;-;-;-;MBNR.5.PER.248
Leopold;Wiese;-;v.  Todesnachricht  31.1,69;-;-;-;-;MBNR.5.PER.249
Salomon;Wininger;6.12.68;;-;Nachruf;-;-;MBNR.5.PER.250
David;Winter;3.10.69;A.  Rezens.Juden  v.Lübeck(Rosenblüth);-;-;-;-;MBNR.5.PER.251
Benedikt;Wolf;4.10.68;Nachruf(SGoldmann);-;-;-;-;MBNR.5.PER.252
Theodor;Wolff;9.8.68;-loo.Geburtstag(HT);-;-;-;-;MBNR.5.PER.253
Kkarl;Volfskehl;19.7.68;-Kunst  u.Leben(HT);-;-;-;-;MBNR.5.PER.254
Grete;Wolpe;20.12.68;;-;Nachruf;-;-;MBNR.5.PER.255
Curt;wormann;18.10.68;Emeritierung(KL);-;-;-;-;MBNR.5.PER.256
Bruno;Yoyda;3.1.69;Nachruf(Gerling);-;-;-;-;MBNR.5.PER.257
siddy;Wronsky;22.11.68;Grab  der  SW(MIP);-;-;-;-;MBNR.5.PER.258
Veit;Wyler;24.1.69;60;-;-;-;-;MBNR.5.PER.259
Lilli;Zadek;18.7.69;Nachruf(Benjamin);-;-;-;-;MBNR.5.PER.260
Harry;Zohn;15.8.69;ilotiz  üb.Lexikon  österr.Juden  i.Lit.;-;-;-;-;MBNR.5.PER.261
Arnold;Zweig;6.12.68;-ilachruf(Gottgetreu);-;-;-;-;MBNR.5.PER.262
Stefan;Zweig;7.3.69;Notiz  üb.Z.u.seine  Frauen(Stern);-;-;-;-;MBNR.5.PER.263
